,deviceId,endDateTime,endLoc,endpointType,providerHash,providerType,startDateTime,startLoc,tripDistanceMeters,tripId,tripMeanSpeedKPH,travelTimeMinutes,travelDistanceMiles,SHAPE,store_id
0,6b91a6198b3f3079955a6eefcbdd2f81,2016-12-31T23:56:50.000Z,"30.31301,-95.46683",1,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2016-12-31T23:46:20.000Z,"30.30686,-95.45305",1663,dc520ef1024167b543ab241691bffaf4,10,10.5,1.033339973,"{'x': '-95.45305', 'y': '30.30686', 'spatialReference': {'wkid': 4326}}",125
1,d80c872ce5fea812cd43da3127984dcf,2017-01-01T21:21:37.000Z,"30.31294,-95.46667",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-01T21:21:03.000Z,"30.31302,-95.4619",483,9a627e4e29c5681180a47bcf83cb19e1,51,0.5666666666666667,0.300122193,"{'x': '-95.4619', 'y': '30.31302', 'spatialReference': {'wkid': 4326}}",125
2,114e48bf02af766c35650a7500849040,2017-01-02T18:21:53.000Z,"30.31356,-95.46733",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-02T18:15:37.000Z,"30.27939,-95.45787",3933,5826626818a99141bdfe677c3883f911,38,6.266666666666667,2.443852143,"{'x': '-95.45787', 'y': '30.27939', 'spatialReference': {'wkid': 4326}}",125
3,64fd62bd23e9aaa9893781b0140545f6,2017-01-02T18:16:45.000Z,"30.31438,-95.46971",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-02T18:15:51.000Z,"30.3181,-95.46611",578,106ccdc2b45acf641d66b729f83d5004,39,0.9,0.359152438,"{'x': '-95.46611', 'y': '30.3181', 'spatialReference': {'wkid': 4326}}",125
4,5cf834fcf1bc46ed67edc5dc325917cf,2017-01-02T22:02:04.000Z,"30.31152,-95.46468",1,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-02T21:09:09.000Z,"30.40103,-95.63854",27737,1a811e85911f19cc3ca7e63d6494602f,31,52.916666666666664,17.234967427,"{'x': '-95.63854', 'y': '30.40103', 'spatialReference': {'wkid': 4326}}",125
5,860392727989b5cf975c3d398e01afe9,2017-01-03T01:08:57.000Z,"30.31305,-95.46799",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T00:59:25.000Z,"30.32001,-95.41933",4750,7c0f15359b43db93aa49df733e217f06,30,9.533333333333333,2.95151225,"{'x': '-95.41933', 'y': '30.32001', 'spatialReference': {'wkid': 4326}}",125
6,5de75d9d54750405c5fe54c29299737a,2017-01-03T02:44:55.000Z,"30.31315,-95.46723",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T02:33:07.000Z,"30.3219,-95.45362",2165,cbbff82f3a87b08964dbe14194634f52,11,11.8,1.345268215,"{'x': '-95.45362', 'y': '30.3219', 'spatialReference': {'wkid': 4326}}",125
7,f9999e7d1dbbdb5d388bd9bfd631de07,2017-01-03T13:21:00.000Z,"30.31333,-95.46843",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T13:03:45.000Z,"30.29504,-95.45599",6717,152bac77e5c3579aef33bb9d7d013b5c,23,17.25,4.1737490070000005,"{'x': '-95.45599', 'y': '30.29504', 'spatialReference': {'wkid': 4326}}",125
8,fed10fa3e57de4898a6816526e466146,2017-01-03T15:27:23.000Z,"30.31288,-95.46691",2,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T15:24:26.000Z,"30.28842,-95.4625",3272,15005944ca5362913e16aef24e15676d,67,2.95,2.033125912,"{'x': '-95.4625', 'y': '30.28842', 'spatialReference': {'wkid': 4326}}",125
9,b8757ff5a8ed1f85a9febee6123d4e2c,2017-01-03T15:54:35.000Z,"30.31391,-95.46804",1,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T15:47:50.000Z,"30.30939,-95.46376",819,25308f20121764da2a793115d31797c5,7,6.75,0.508902849,"{'x': '-95.46376', 'y': '30.30939', 'spatialReference': {'wkid': 4326}}",125
10,7e9c3e071717c4e4324f185330e89e3d,2017-01-03T16:34:38.000Z,"30.31218,-95.46683",1,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T16:20:24.000Z,"30.20466,-95.48042",14947,4e9ca94c52da4696c04ae8b76c4fbeb4,63,14.233333333333333,9.287632337,"{'x': '-95.48042', 'y': '30.20466', 'spatialReference': {'wkid': 4326}}",125
11,7ad66b261d4691990288cb77aceac3ff,2017-01-03T16:58:38.000Z,"30.31312,-95.46696",0,84d9ee44e457ddef7f2c4f25dc8fa865,consumer,2017-01-03T16:31:59.000Z,"30.37612,-95.64017",19555,57e4fafb7a8504ce2ee3d65888a006ca,44,26.65,12.150909905,"{'x': '-95.64017', 'y': '30.37612', 'spatialReference': {'wkid': 4326}}",125
12,7d6c303242c9d6502bd64b213d508b8f,2017-01-03T18:11:42.313Z,"30.313497,-95.468302",0,c3e878e27f52e2a57ace4d9a76fd9acf,consumer,2017-01-03T18:05:33.400Z,"30.311896,-95.45919",975,18be240811584bd38b7503b56942b2bc,10,6.133333333333334,0.605836725,"{'x': '-95.45919', 'y': '30.311896', 'spatialReference': {'wkid': 4326}}",125
13,5321a9949b0c1641089fcfa847b0a77f,2017-01-03T18:30:52.000Z,"30.31396,-95.467808",0,82cec96096d4281b7c95cd7e74623496,consumer,2017-01-03T18:19:12.000Z,"30.419372,-95.497945",13056,d2ebf6f023d321cbcfeeadf6d54593c4,67,11.666666666666666,8.112619776,"{'x': '-95.497945', 'y': '30.419372', 'spatialReference': {'wkid': 4326}}",125
